"YearStart","LocationDesc","Data_Value","Data_Value_Footnote","Sample_Size","StratificationCategory1","Stratification1"
2011,"Alabama",34.8,"",1367,"Income","$15,000 - $24,999"
2011,"Alabama",35.8,"",757,"Income","$25,000 - $34,999"
2011,"Alabama",32.3,"",861,"Income","$35,000 - $49,999"
2011,"Alabama",34.1,"",785,"Income","$50,000 - $74,999"
2011,"Alabama",28.8,"",1125,"Income","$75,000 or greater"
2011,"Alabama",23.8,"",1297,"Income","Data not reported"
2011,"Alabama",38.5,"",1112,"Income","Less than $15,000"
2011,"Alaska",30.2,"",377,"Income","$15,000 - $24,999"
2011,"Alaska",32.2,"",224,"Income","$25,000 - $34,999"
2011,"Alaska",24.5,"",397,"Income","$35,000 - $49,999"
2011,"Alaska",27.8,"",524,"Income","$50,000 - $74,999"
2011,"Alaska",26.9,"",1109,"Income","$75,000 or greater"
2011,"Alaska",22.7,"",434,"Income","Data not reported"
2011,"Alaska",33.6,"",271,"Income","Less than $15,000"
2011,"Arizona",32.3,"",1057,"Income","$15,000 - $24,999"
2011,"Arizona",26.5,"",654,"Income","$25,000 - $34,999"
2011,"Arizona",20.7,"",834,"Income","$35,000 - $49,999"
2011,"Arizona",25.1,"",830,"Income","$50,000 - $74,999"
2011,"Arizona",19.7,"",1179,"Income","$75,000 or greater"
2011,"Arizona",19.6,"",836,"Income","Data not reported"
2011,"Arizona",34.1,"",760,"Income","Less than $15,000"
2011,"Arkansas",30.4,"",860,"Income","$15,000 - $24,999"
2011,"Arkansas",37.2,"",524,"Income","$25,000 - $34,999"
2011,"Arkansas",31.7,"",564,"Income","$35,000 - $49,999"
2011,"Arkansas",30.6,"",528,"Income","$50,000 - $74,999"
2011,"Arkansas",27.8,"",718,"Income","$75,000 or greater"
2011,"Arkansas",24.9,"",632,"Income","Data not reported"
2011,"Arkansas",33.8,"",701,"Income","Less than $15,000"
2011,"California",30.1,"",2203,"Income","$15,000 - $24,999"
2011,"California",27.2,"",1622,"Income","$25,000 - $34,999"
2011,"California",22.1,"",1915,"Income","$35,000 - $49,999"
2011,"California",24.3,"",2263,"Income","$50,000 - $74,999"
2011,"California",17.7,"",5406,"Income","$75,000 or greater"
2011,"California",17.5,"",1090,"Income","Data not reported"
2011,"California",29.9,"",2589,"Income","Less than $15,000"
2011,"Colorado",24.2,"",1706,"Income","$15,000 - $24,999"
2011,"Colorado",23.7,"",1134,"Income","$25,000 - $34,999"
2011,"Colorado",21.3,"",1757,"Income","$35,000 - $49,999"
2011,"Colorado",19.5,"",1968,"Income","$50,000 - $74,999"
2011,"Colorado",18.3,"",3773,"Income","$75,000 or greater"
2011,"Colorado",17.5,"",1604,"Income","Data not reported"
2011,"Colorado",25.9,"",1034,"Income","Less than $15,000"
2011,"Connecticut",28.7,"",743,"Income","$15,000 - $24,999"
2011,"Connecticut",24.7,"",549,"Income","$25,000 - $34,999"
2011,"Connecticut",27.5,"",727,"Income","$35,000 - $49,999"
2011,"Connecticut",23.2,"",850,"Income","$50,000 - $74,999"
2011,"Connecticut",20.7,"",2208,"Income","$75,000 or greater"
2011,"Connecticut",24.8,"",911,"Income","Data not reported"
2011,"Connecticut",31.7,"",469,"Income","Less than $15,000"
2011,"Delaware",35.6,"",506,"Income","$15,000 - $24,999"
2011,"Delaware",31,"",374,"Income","$25,000 - $34,999"
2011,"Delaware",32.3,"",598,"Income","$35,000 - $49,999"
2011,"Delaware",26.4,"",684,"Income","$50,000 - $74,999"
2011,"Delaware",27,"",1199,"Income","$75,000 or greater"
2011,"Delaware",22,"",674,"Income","Data not reported"
2011,"Delaware",33.5,"",495,"Income","Less than $15,000"
2011,"District of Columbia",35.3,"",472,"Income","$15,000 - $24,999"
2011,"District of Columbia",30,"",277,"Income","$25,000 - $34,999"
2011,"District of Columbia",27.6,"",355,"Income","$35,000 - $49,999"
2011,"District of Columbia",20.3,"",475,"Income","$50,000 - $74,999"
2011,"District of Columbia",12.7,"",1820,"Income","$75,000 or greater"
2011,"District of Columbia",22.1,"",505,"Income","Data not reported"
2011,"District of Columbia",41.6,"",464,"Income","Less than $15,000"
2011,"Florida",30.2,"",2134,"Income","$15,000 - $24,999"
2011,"Florida",29.7,"",1285,"Income","$25,000 - $34,999"
2011,"Florida",27.2,"",1532,"Income","$35,000 - $49,999"
2011,"Florida",26.5,"",1495,"Income","$50,000 - $74,999"
2011,"Florida",22.4,"",2187,"Income","$75,000 or greater"
2011,"Florida",20.3,"",1652,"Income","Data not reported"
2011,"Florida",31.8,"",1485,"Income","Less than $15,000"
2011,"Georgia",33.2,"",1600,"Income","$15,000 - $24,999"
2011,"Georgia",29,"",1044,"Income","$25,000 - $34,999"
2011,"Georgia",26.8,"",1123,"Income","$35,000 - $49,999"
2011,"Georgia",31.2,"",1178,"Income","$50,000 - $74,999"
2011,"Georgia",21.3,"",2096,"Income","$75,000 or greater"
2011,"Georgia",23.3,"",1265,"Income","Data not reported"
2011,"Georgia",33.9,"",1047,"Income","Less than $15,000"
2011,"Hawaii",21.2,"",991,"Income","$15,000 - $24,999"
